Exercise Name | Primary Muscles | Secondary Muscles | Equipment | Category
Dumbbell Bench Press with Neutral Grip | chest | shoulders,triceps | dumbbell | strength
Cable Rear Delt Fly | shoulders |  | cable | strength
Battling Ropes | shoulders | chest,forearms | other | strength
Cable Iron Cross | chest |  | cable | strength
Kettlebell Pirate Ships | shoulders | abdominals | kettlebells | strength
Standing Palms-Up Barbell Behind The Back Wrist Curl | forearms |  | barbell | strength
Rocky Pull-Ups/Pulldowns | lats | biceps,middle back,shoulders | other | strength
Rickshaw Carry | forearms | abdominals,calves,glutes,hamstrings,lower back,quadriceps,traps | other | strongman
Vertical Swing | hamstrings | glutes,quadriceps,shoulders | dumbbell | plyometrics
Floor Press | triceps | chest,shoulders | barbell | powerlifting
Barbell Rollout from Bench | abdominals | glutes,hamstrings,lats,shoulders | barbell | strength
EZ-Bar Curl | biceps |  | e-z curl bar | strength
Return Push from Stance | shoulders | chest,triceps | medicine ball | plyometrics
Superman | lower back | glutes,hamstrings | body only | stretching
Cable Seated Crunch | abdominals |  | cable | strength
Kettlebell Turkish Get-Up (Squat style) | shoulders | abdominals,calves,hamstrings,quadriceps,triceps | kettlebells | strength
Palms-Up Dumbbell Wrist Curl Over A Bench | forearms |  | dumbbell | strength
Kneeling Squat | glutes | abdominals,hamstrings,lower back | barbell | powerlifting
Bodyweight Mid Row | middle back | biceps,lats | other | strength
Exercise Ball Pull-In | abdominals |  | exercise ball | strength
Incline Cable Flye | chest | shoulders | cable | strength
Flexor Incline Dumbbell Curls | biceps |  | dumbbell | strength
Deficit Deadlift | lower back | forearms,glutes,hamstrings,middle back,quadriceps,traps | barbell | powerlifting
Clean Shrug | traps | forearms,shoulders | barbell | olympic weightlifting
Car Drivers | shoulders | forearms | barbell | strength
Alternating Hang Clean | hamstrings | biceps,calves,forearms,glutes,lower back,traps | kettlebells | strength
Medicine Ball Chest Pass | chest | shoulders,triceps | medicine ball | plyometrics
Single Leg Push-off | quadriceps | calves,hamstrings | other | plyometrics
One-Arm Kettlebell Push Press | shoulders | calves,quadriceps,triceps | kettlebells | strength
Smith Machine Overhead Shoulder Press | shoulders | triceps | machine | strength
Decline Dumbbell Flyes | chest |  | dumbbell | strength
Backward Drag | quadriceps | calves,forearms,glutes,hamstrings,lower back | other | strongman
Dips - Chest Version | chest | shoulders,triceps | other | strength
Chair Lower Back Stretch | lats | lower back | None | stretching
Tricep Side Stretch | triceps | shoulders | None | stretching
Chin-Up | lats | biceps,forearms,middle back | body only | strength
Lying Prone Quadriceps | quadriceps |  | body only | stretching
Seated One-Arm Dumbbell Palms-Up Wrist Curl | forearms |  | dumbbell | strength
Alternating Renegade Row | middle back | abdominals,biceps,chest,lats,triceps | kettlebells | strength
Recumbent Bike | quadriceps | calves,glutes,hamstrings | machine | cardio
Suspended Fallout | abdominals | chest,lower back,shoulders | other | strength
Forward Drag with Press | chest | calves,glutes,hamstrings,quadriceps,shoulders,triceps | other | strongman
Seated Barbell Twist | abdominals |  | barbell | strength
Standing Calf Raises | calves |  | machine | strength
Barbell Side Split Squat | quadriceps | calves,hamstrings,lower back | barbell | strength
Upward Stretch | shoulders | chest,lats | None | stretching
One-Arm Side Deadlift | quadriceps | abdominals,calves,glutes,hamstrings,lower back,traps | barbell | strength
V-Bar Pullup | lats | biceps,middle back,shoulders | body only | strength
Cuban Press | shoulders | traps | dumbbell | strength
Hyperextensions (Back Extensions) | lower back | glutes,hamstrings | other | strength
Round The World Shoulder Stretch | shoulders | biceps,chest | other | stretching
Reverse Plate Curls | biceps | forearms | other | strength
Split Jump | quadriceps | calves,glutes,hamstrings | body only | plyometrics
Double Kettlebell Push Press | shoulders | calves,quadriceps,triceps | kettlebells | strength
Hang Snatch - Below Knees | hamstrings | abdominals,calves,forearms,glutes,lower back,quadriceps,shoulders,traps | barbell | olympic weightlifting
Standing Overhead Barbell Triceps Extension | triceps | shoulders | barbell | strength
T-Bar Row with Handle | middle back | biceps,lats | barbell | strength
Barbell Incline Shoulder Raise | shoulders | chest | barbell | strength
Standing Long Jump | quadriceps | calves,glutes,hamstrings | body only | plyometrics
Suspended Row | middle back | biceps,lats | other | strength
Single-Leg Stride Jump | quadriceps | abductors,adductors,calves,hamstrings | other | plyometrics
Reverse Flyes | shoulders |  | dumbbell | strength
Kettlebell Sumo High Pull | traps | adductors,glutes,hamstrings,quadriceps,shoulders | kettlebells | strength
One Arm Lat Pulldown | lats | biceps,middle back | cable | strength
Stomach Vacuum | abdominals |  | body only | stretching
